region,ID_2
Беломорский район,29117
Калевальский Национальный район,29118
"Сельские населенные пункты, подчиненные администрации г. Кемь",29119
Кемский район,29120
г. Кондопога,29121
Кондопожский район,29122
"Сельские населенные пункты, подчиненные администрации г. Костомукша",29123
Лахденпохский район,29125
Лоухский район,29126
Медвежьегорский район,29127
Муезерский район,29128
Олонецкий район,29129
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск",29130
г. Питкяранта,29131
Питкярантский район,29133
Прионежский район,29135
Пряжинский район,29136
Пудожский район,29137
"Сельские населенные пункты, подчиненные администрации г. Сегежа",29138
Сегежский район,29139
г. Сортавала,29140
Суоярвский район,29141
