region,ID_2,NAME_2
Беломорский район,29117,Belomorskiy rayon
Калевальский Национальный район,29118,Kaleval'skiy rayon
"Сельские населенные пункты, подчиненные администрации г. Кемь",29119,Kem'
Кемский район,29120,Kemskiy rayon
г. Кондопога,29121,Kondopoga
Кондопожский район,29122,Kondopozhskiy rayon
"Сельские населенные пункты, подчиненные администрации г. Костомукша",29124,Kostomuksh gorsovet
Лахденпохский район,29125,Lakhdenpokhskiy rayon
Лоухский район,29126,Loukhskiy rayon
Медвежьегорский район,29127,Medvezh'egorskiy rayon
Муезерский район,29128,Muyezerskiy rayon
Олонецкий район,29129,Olonetskiy rayon
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск",29130,Petrozavodsk
г. Питкяранта,29131,Pitkyaranta
Питкярантский район,29133,Pitkyarantskiy rayon
Прионежский район,29135,Prionezhskiy rayon
Пряжинский район,29136,Pryazhinskiy rayon
Пудожский район,29137,Pudozhskiy rayon
"Сельские населенные пункты, подчиненные администрации г. Сегежа",29138,Segezha
Сегежский район,29139,Segezhskiy rayon
г. Сортавала,29140,Sortaval' gorsovet
Суоярвский район,29141,Suoyarvskiy rayon
